R,COPERTURA,LIVELLO_RDS,RDS,COORTE_1617,COP,DELTA_STUD_A,LEVA_ELIMINATA,DELTA_DOC_A,DOC_LIBERATI,DOC_NETTI
2032/33,base_totale,min,0.0963,1016567,0.914,56477,363606,5439,35015,-29577
2032/33,base_totale,base,0.107,1016567,0.914,56477,363606,6043,38906,-32863
2032/33,base_totale,max,0.1177,1016567,0.914,56477,363606,6647,42796,-36149
2032/33,prudente_solo_statale,min,0.0963,1016567,0.8,172498,363606,16612,35015,-18404
2032/33,prudente_solo_statale,base,0.107,1016567,0.8,172498,363606,18457,38906,-20449
2032/33,prudente_solo_statale,max,0.1177,1016567,0.8,172498,363606,20303,42796,-22493
2037/38,base_totale,min,0.0963,857838,0.914,47658,316867,4590,30514,-25925
2037/38,base_totale,base,0.107,857838,0.914,47658,316867,5099,33905,-28805
2037/38,base_totale,max,0.1177,857838,0.914,47658,316867,5609,37295,-31686
2037/38,prudente_solo_statale,min,0.0963,857838,0.8,145564,316867,14018,30514,-16496
2037/38,prudente_solo_statale,base,0.107,857838,0.8,145564,316867,15575,33905,-18329
2037/38,prudente_solo_statale,max,0.1177,857838,0.8,145564,316867,17133,37295,-20162
